"x","y","z"
-203.394086759119,-210.810003151068,-126.703482326745
-206.380227294087,-202.49510420503,-134.636155212385
-203.273913554616,-206.642566891152,-132.491859694349
-212.80751907538,-212.576197476171,-135.819632651397
-216.480558274232,-180.53850356131,-125.324895930547
-209.900424630132,-182.332506444243,-130.450873827884
-202.186576085425,-186.714934350472,-134.338546052967
-216.291052030904,-194.843496970639,-133.068318818791
-211.070805330422,-197.960471611403,-135.637460434014
-217.986742887945,-206.374908402679,-138.289951792061
-213.631336310977,-208.793227694922,-137.601142029337
-195.413571665107,-208.913171475574,-112.530647124102
-206.02630784157,-212.60296890917,-120.801794526453
-210.643142714316,-211.762254036505,-116.356745216366
-216.056624850579,-208.856887975923,-113.976382615049
-212.860815926514,-215.50399246687,-131.661655034866
-214.719485215586,-216.824424491916,-127.173116344761
-216.804543277768,-215.865608006641,-123.144583469487
-221.389859498729,-213.994992850584,-122.613583351458
-220.553924245543,-204.110665779849,-114.788884654145
-223.301442074673,-199.265778394823,-118.06894146285
-223.360780196361,-195.394803802869,-123.544795016437
-220.549091869687,-193.305342870061,-129.758967386915
-224.347017524515,-210.042443908767,-121.951363562772
-226.533976171245,-207.703109403488,-125.304129836302
-226.586778082138,-204.906976137292,-129.490288812172
-224.622012744669,-203.45488914647,-133.950625455845
-221.173848280467,-202.970076672917,-136.407955319253
-221.988672896217,-213.753576922391,-127.576992649552
-221.247894730952,-211.908921905863,-131.897038247869
-220.19023683707,-209.722246257706,-135.882896665992
-128.816538482823,-159.502354900054,31.0908169930078
-135.710602070151,-167.788200458641,26.8671444230088
-145.997278651288,-172.163458616011,23.2902349414462
-158.285588447177,-170.362039802706,22.1884829222424
-168.066285238596,-162.955719575027,23.6234239503316
-172.704813619188,-151.940077099833,27.2085928383412
-170.792704430873,-141.225661516892,32.0144831795865
-164.068960848139,-132.810738610278,36.2630608480104
-153.581639128012,-128.638586893616,39.2668234296001
-141.026048879367,-130.464378330095,40.3647348567859
-131.230121129038,-137.887306674756,38.928515807585
-126.688556426262,-149.007652926587,35.32224130757
-166.158283889783,-150.99557682388,54.0048331033667
-159.023185447504,-149.123079645729,57.6987503011206
-151.084849156977,-150.872883206451,59.3423599071811
-144.55820179908,-155.814877232126,58.3848237011823
-141.1884309495,-162.6276170972,55.0821753922225
-141.842783829402,-169.407373131481,50.4374598148045
-146.271487944468,-174.359565363365,45.8100540824598
-153.266659508031,-176.13522690964,42.4707539053249
-161.233884593519,-174.549323616532,41.4134884152771
-167.760353934235,-169.6074278458,42.3710398478914
-171.095782978866,-162.634924839084,45.0865425143189
-170.581547331824,-155.951913272692,49.376633559275
-155.285527901566,-176.617480648941,52.3201088360516
-159.104578250735,-177.311504724622,50.1776446003799
-163.560778803251,-176.192292323085,49.199906317734
-167.296815182733,-173.363301915535,49.7480829774902
-169.311618074766,-169.582672656658,51.6751943405576
-169.22856296049,-166.059780053797,54.3657095486821
-166.876605611216,-163.539166335971,57.3872173984258
-162.923087344791,-162.74005879807,59.9036598200839
-158.519002054283,-163.968381801168,61.0894853229542
-154.782980691629,-166.797334260572,60.5413569895163
-152.716084226519,-170.468838774929,58.4061919407887
-152.933594714112,-174.096847757475,55.3416197806312
-165.978115764323,-190.902619592204,65.0516283610555
-168.933500688943,-191.038290572459,62.7289400792455
-172.508583820968,-189.802399518684,61.6378787554601
-175.658602704669,-187.417155105706,62.1000808709989
-177.539239346499,-184.521666319016,63.9912059233137
-177.730776620584,-181.99977018971,66.7715087638185
-176.166002887192,-180.534450439743,69.8335692572923
-173.142107308182,-180.409048012162,72.6551814396022
-169.494271474764,-181.642830822512,74.2488448379713
-166.349665132768,-184.029991198325,73.7945801786193
-164.54804149624,-186.929813746861,71.4100195972376
-164.419617573431,-189.439541403696,68.1228458393798
-167.710932978342,-191.190200693693,-92.9468005964543
-176.108575694212,-194.349705779418,-82.908471225555
-187.409294906761,-190.558422336206,-75.6886886795944
-198.190751356769,-182.251041322091,-74.0773115791925
-205.917760497439,-171.449249568563,-78.4087712815377
-207.047483452008,-161.216189391892,-86.9005693105158
-202.377976198103,-153.091059597296,-97.9021384338081
-193.965073766703,-150.805742507159,-106.493138348406
-181.967298941079,-153.582381496592,-113.319651641405
-171.535430777481,-161.694761883613,-114.841205210215
-164.66217063379,-173.332764058938,-110.897778015277
-163.198123192718,-182.886639902717,-103.943146054826
